symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.005,1.0,0.5,2.0,8.3642,44611.28,4.935,-32420.35,-2420.4,-484.08,3,4,35568.27
ADANIPORTS26JUNFUT,0.005,1.0,0.5,3.0,8.6246,33406.14,5.7375,4123.85,20202.58,4040.52,3,4,22939.18
ADANIPORTS26JUNFUT,0.005,1.5,0.05,1.0,7.2969,5232.23,5.7325,-75783.42,-83808.38,-16761.68,1,4,41199.44
ADANIPORTS26JUNFUT,0.005,1.5,0.05,1.5,5.9515,-48114.72,6.2025,-28931.45,-84017.42,-16803.48,2,4,33454.6
ADANIPORTS26JUNFUT,0.005,1.5,0.05,2.0,5.3688,-53417.5,5.89,-19382.44,-73141.17,-14628.23,1,4,37179.08
ADANIPORTS26JUNFUT,0.005,1.5,0.05,3.0,7.6727,6367.42,6.6675,13172.76,9689.78,1937.96,3,4,19127.62
ADANIPORTS26JUNFUT,0.005,1.5,0.1,1.0,7.2969,5232.23,5.7325,-75783.42,-83808.38,-16761.68,1,4,41199.44
ADANIPORTS26JUNFUT,0.005,1.5,0.1,1.5,5.9515,-48114.72,6.2025,-28931.45,-84017.42,-16803.48,2,4,33454.6
ADANIPORTS26JUNFUT,0.005,1.5,0.1,2.0,5.3688,-53417.5,5.89,-19382.44,-73141.17,-14628.23,1,4,37179.08
ADANIPORTS26JUNFUT,0.005,1.5,0.1,3.0,7.6727,6367.42,6.6675,13172.76,9689.78,1937.96,3,4,19127.62
ADANIPORTS26JUNFUT,0.005,1.5,0.25,1.0,7.2969,5232.23,5.7325,-75783.42,-83808.38,-16761.68,1,4,41199.44
ADANIPORTS26JUNFUT,0.005,1.5,0.25,1.5,5.9515,-48114.72,6.2025,-28931.45,-84017.42,-16803.48,2,4,33454.6
ADANIPORTS26JUNFUT,0.005,1.5,0.25,2.0,5.3688,-53417.5,5.89,-19382.44,-73141.17,-14628.23,1,4,37179.08
ADANIPORTS26JUNFUT,0.005,1.5,0.25,3.0,7.6727,6367.42,6.6675,13172.76,9689.78,1937.96,3,4,19127.62
ADANIPORTS26JUNFUT,0.005,1.5,0.5,1.0,7.2969,5232.23,5.7325,-75783.42,-83808.38,-16761.68,1,4,41199.44
ADANIPORTS26JUNFUT,0.005,1.5,0.5,1.5,5.9515,-48114.72,6.2025,-28931.45,-84017.42,-16803.48,2,4,33454.6
ADANIPORTS26JUNFUT,0.005,1.5,0.5,2.0,5.3688,-53417.5,5.89,-19382.44,-73141.17,-14628.23,1,4,37179.08
ADANIPORTS26JUNFUT,0.005,1.5,0.5,3.0,7.6727,6367.42,6.6675,13172.76,9689.78,1937.96,3,4,19127.62
